year.range,type,size.ft3,cons.year.kwh.fridg,id.year,id.capacity,id.freezer.loc,id.number.doors,id.appl
2016-2017,No freezer,<6,268,7,1,4,1,fridg_7141
<1980,No freezer,6.0-10.4,1629.9,1,2,4,1,fridg_1241
1980-1989,No freezer,6.0-10.4,1386,2,2,4,1,fridg_2241
1990-1992,No freezer,6.0-10.4,995.4,3,2,4,1,fridg_3241
1993-2000,No freezer,6.0-10.4,693.9,4,2,4,1,fridg_4241
2001-2010,No freezer,6.0-10.4,528.3,5,2,4,1,fridg_5241
2011-2015,No freezer,6.0-10.4,332.1,6,2,4,1,fridg_6241
2016-2017,No freezer,6.0-10.4,295.2,7,2,4,1,fridg_7241
<1980,No freezer,10.5-16.4,1796.4,1,3,4,1,fridg_1341
1980-1989,No freezer,10.5-16.4,1527.3,2,3,4,1,fridg_2341
1990-1992,No freezer,10.5-16.4,1097.1,3,3,4,1,fridg_3341
1993-2000,No freezer,10.5-16.4,765,4,3,4,1,fridg_4341
2001-2010,No freezer,10.5-16.4,582.3,5,3,4,1,fridg_5341
2011-2015,No freezer,10.5-16.4,366.3,6,3,4,1,fridg_6341
2016-2017,No freezer,10.5-16.4,325.8,7,3,4,1,fridg_7341
<1980,No freezer,16.5-18.9,1980,1,4,4,1,fridg_1441
1980-1989,No freezer,16.5-18.9,1683,2,4,4,1,fridg_2441
1990-1992,No freezer,16.5-18.9,1208.7,3,4,4,1,fridg_3441
1993-2000,No freezer,16.5-18.9,843.3,4,4,4,1,fridg_4441
2001-2010,No freezer,16.5-18.9,641.7,5,4,4,1,fridg_5441
2011-2015,No freezer,16.5-18.9,404.1,6,4,4,1,fridg_6441
2016-2017,No freezer,16.5-18.9,359.1,7,4,4,1,fridg_7441
<1980,No freezer,19.0-21.4,2183.4,1,5,4,1,fridg_1541
1980-1989,No freezer,19.0-21.4,1855.8,2,5,4,1,fridg_2541
1990-1992,No freezer,19.0-21.4,1332.9,3,5,4,1,fridg_3541
1993-2000,No freezer,19.0-21.4,952.2,4,5,4,1,fridg_4541
2001-2010,No freezer,19.0-21.4,724.5,5,5,4,1,fridg_5541
2011-2015,No freezer,19.0-21.4,456.3,6,5,4,1,fridg_6541
2016-2017,No freezer,19.0-21.4,405.9,7,5,4,1,fridg_7541
<1980,No freezer,21.5-24.4,2319.3,1,6,4,1,fridg_1641
1980-1989,No freezer,21.5-24.4,1971,2,6,4,1,fridg_2641
1990-1992,No freezer,21.5-24.4,1415.7,3,6,4,1,fridg_3641
1993-2000,No freezer,21.5-24.4,1024.2,4,6,4,1,fridg_4641
2001-2010,No freezer,21.5-24.4,779.4,5,6,4,1,fridg_5641
2011-2015,No freezer,21.5-24.4,490.5,6,6,4,1,fridg_6641
2016-2017,No freezer,21.5-24.4,436.5,7,6,4,1,fridg_7641
<1980,No freezer,>24.5,2413.8,1,7,4,1,fridg_1741
1980-1989,No freezer,>24.5,2052,2,7,4,1,fridg_2741
1990-1992,No freezer,>24.5,1473.3,3,7,4,1,fridg_3741
1993-2000,No freezer,>24.5,1074.6,4,7,4,1,fridg_4741
2001-2010,No freezer,>24.5,818.1,5,7,4,1,fridg_5741
2011-2015,No freezer,>24.5,514.8,6,7,4,1,fridg_6741
2016-2017,No freezer,>24.5,464.4,7,7,4,1,fridg_7741
<1980,4 door,<6,2077,1,1,2,4,fridg_1124
1980-1989,4 door,<6,1640,2,1,2,4,fridg_2124
1990-1992,4 door,<6,1250,3,1,2,4,fridg_3124
1993-2000,4 door,<6,792,4,1,2,4,fridg_4124
2001-2010,4 door,<6,596,5,1,2,4,fridg_5124
2011-2015,4 door,<6,397,6,1,2,4,fridg_6124
2016-2017,4 door,<6,353,7,1,2,4,fridg_7124
<1980,4 door,6.0-10.4,2289,1,2,2,4,fridg_1224
1980-1989,4 door,6.0-10.4,1807,2,2,2,4,fridg_2224
1990-1992,4 door,6.0-10.4,1378,3,2,2,4,fridg_3224
1993-2000,4 door,6.0-10.4,873,4,2,2,4,fridg_4224
2001-2010,4 door,6.0-10.4,657,5,2,2,4,fridg_5224
2011-2015,4 door,6.0-10.4,438,6,2,2,4,fridg_6224
2016-2017,4 door,6.0-10.4,389,7,2,2,4,fridg_7224
<1980,4 door,10.5-16.4,2523,1,3,2,4,fridg_1324
1980-1989,4 door,10.5-16.4,1992,2,3,2,4,fridg_2324
1990-1992,4 door,10.5-16.4,1519,3,3,2,4,fridg_3324
1993-2000,4 door,10.5-16.4,962,4,3,2,4,fridg_4324
2001-2010,4 door,10.5-16.4,724,5,3,2,4,fridg_5324
2011-2015,4 door,10.5-16.4,483,6,3,2,4,fridg_6324
2016-2017,4 door,10.5-16.4,429,7,3,2,4,fridg_7324
<1980,4 door,16.5-18.9,2789,1,4,2,4,fridg_1424
1980-1989,4 door,16.5-18.9,2202,2,4,2,4,fridg_2424
1990-1992,4 door,16.5-18.9,1680,3,4,2,4,fridg_3424
1993-2000,4 door,16.5-18.9,1051,4,4,2,4,fridg_4424
2001-2010,4 door,16.5-18.9,747,5,4,2,4,fridg_5424
2011-2015,4 door,16.5-18.9,517,6,4,2,4,fridg_6424
2016-2017,4 door,16.5-18.9,461,7,4,2,4,fridg_7424
<1980,4 door,19.0-21.4,2965,1,5,2,4,fridg_1524
1980-1989,4 door,19.0-21.4,2341,2,5,2,4,fridg_2524
1990-1992,4 door,19.0-21.4,1786,3,5,2,4,fridg_3524
1993-2000,4 door,19.0-21.4,1110,4,5,2,4,fridg_4524
2001-2010,4 door,19.0-21.4,762,5,5,2,4,fridg_5524
2011-2015,4 door,19.0-21.4,539,6,5,2,4,fridg_6524
2016-2017,4 door,19.0-21.4,479,7,5,2,4,fridg_7524
<1980,4 door,21.5-24.4,3149,1,6,2,4,fridg_1624
1980-1989,4 door,21.5-24.4,2486,2,6,2,4,fridg_2624
1990-1992,4 door,21.5-24.4,1896,3,6,2,4,fridg_3624
1993-2000,4 door,21.5-24.4,1172,4,6,2,4,fridg_4624
2001-2010,4 door,21.5-24.4,777,5,6,2,4,fridg_5624
2011-2015,4 door,21.5-24.4,562,6,6,2,4,fridg_6624
2016-2017,4 door,21.5-24.4,500,7,6,2,4,fridg_7624
<1980,4 door,>24.5,3054,1,7,2,4,fridg_1724
1980-1989,4 door,>24.5,2411,2,7,2,4,fridg_2724
1990-1992,4 door,>24.5,1839,3,7,2,4,fridg_3724
1993-2000,4 door,>24.5,1223,4,7,2,4,fridg_4724
2001-2010,4 door,>24.5,758,5,7,2,4,fridg_5724
2011-2015,4 door,>24.5,508,6,7,2,4,fridg_6724
2016-2017,4 door,>24.5,452,7,7,2,4,fridg_7724
