folio,foliohog,huespedes,huesp_come,trabaja_do,cuid_perso,lavandero,chofer,cocinero,jardinero,tot_integ,tot_hom,tot_muj
16749,1,0, , , , , , , ,6,3,3
16750,1,0, , , , , , , ,3,1,2
16751,1,0, , , , , , , ,2,1,1
16752,1,0, , , , , , , ,8,5,3
16753,1,0, , , , , , , ,7,3,4
16754,1,0, , , , , , , ,3,1,2
16755,1,0, , , , , , , ,1,0,1
16756,1,0, , , , , , , ,3,2,1
16757,1,0, , , , , , , ,5,3,2
16758,1,0, , , , , , , ,4,1,3
16759,1,0, , , , , , , ,4,2,2
16760,1,0, , , , , , , ,5,3,2
16761,1,0, ,1,2,2,2,2,2,6,4,2
16762,1,0, , , , , , , ,4,2,2
16763,1,0, , , , , , , ,4,3,1
16764,1,0, , , , , , , ,1,1,0
16765,1,0, , , , , , , ,6,4,2
16766,1,0, , , , , , , ,4,2,2
16767,1,0, , , , , , , ,4,2,2
16768,1,0, , , , , , , ,1,0,1
16769,1,0, , , , , , , ,1,0,1
16770,1,0, , , , , , , ,4,2,2
16771,1,0, , , , , , , ,2,1,1
16772,1,0, , , , , , , ,3,1,2
16773,1,0, , , , , , , ,5,3,2
16774,1,0, , , , , , , ,4,2,2
16775,1,0, , , , , , , ,1,1,0
16776,1,0, , , , , , , ,5,3,2
16777,1,0, , , , , , , ,3,1,2
16778,1,0, , , , , , , ,4,2,2
16779,1,0, , , , , , , ,4,1,3
16780,1,0, , , , , , , ,2,1,1
16781,1,0, , , , , , , ,3,2,1
16782,1,0, , , , , , , ,5,3,2
16783,1,0, , , , , , , ,4,3,1
16784,1,0, , , , , , , ,6,2,4
16785,1,0, , , , , , , ,6,3,3
16786,1,0, , , , , , , ,5,3,2
16787,1,0, , , , , , , ,6,2,4
16788,1,0, , , , , , , ,6,4,2
16789,1,0, , , , , , , ,5,3,2
16790,1,0, , , , , , , ,4,1,3
16791,1,0, ,1,2,2,2,2,2,4,1,3
16792,1,0, , , , , , , ,6,3,3
16793,1,0, , , , , , , ,2,1,1
16794,1,0, , , , , , , ,7,3,4
16795,1,0, , , , , , , ,4,1,3
16796,1,0, , , , , , , ,3,2,1
16797,1,0, , , , , , , ,3,2,1
16798,1,0, , , , , , , ,5,2,3
16799,1,0, , , , , , , ,1,1,0
16800,1,0, , , , , , , ,3,1,2
16801,1,0, , , , , , , ,2,1,1
16802,1,0, , , , , , , ,5,2,3
16803,1,0, , , , , , , ,3,1,2
16804,1,0, , , , , , , ,3,1,2
16805,1,0, , , , , , , ,4,2,2
16806,1,0, , , , , , , ,5,2,3
16807,1,0, , , , , , , ,4,2,2
16808,1,0, , , , , , , ,5,2,3
16809,1,0, , , , , , , ,5,3,2
16810,1,0, , , , , , , ,5,3,2
16811,1,0, , , , , , , ,4,2,2
16812,1,0, , , , , , , ,4,1,3
16813,1,0, , , , , , , ,5,3,2
16814,1,0, , , , , , , ,4,1,3
16815,1,0, , , , , , , ,4,3,1
16816,1,0, , , , , , , ,6,5,1
16817,1,0, , , , , , , ,4,2,2
16818,1,0, , , , , , , ,5,3,2
16819,1,0, , , , , , , ,3,1,2
16820,1,0, , , , , , , ,1,1,0
16821,1,0, , , , , , , ,6,3,3
16822,1,0, , , , , , , ,4,3,1
16823,1,0, , , , , , , ,6,3,3
16824,1,0, , , , , , , ,5,1,4
16825,1,0, , , , , , , ,4,2,2
16826,1,0, , , , , , , ,4,3,1
16827,1,0, , , , , , , ,4,2,2
16828,1,0, , , , , , , ,3,2,1
16829,1,0, , , , , , , ,4,1,3
16830,1,0, , , , , , , ,4,2,2
16831,1,0, , , , , , , ,5,3,2
16832,1,0, , , , , , , ,6,3,3
16833,1,0, , , , , , , ,4,2,2
16834,1,0, , , , , , , ,1,1,0
16835,1,0, , , , , , , ,5,1,4
16836,1,0, , , , , , , ,2,1,1
16837,1,0, , , , , , , ,1,0,1
16838,1,0, , , , , , , ,4,2,2
16839,1,0, , , , , , , ,4,2,2
16840,1,0, , , , , , , ,1,1,0
16841,1,0, , , , , , , ,2,1,1
16842,1,0, , , , , , , ,2,1,1
16843,1,0, , , , , , , ,4,3,1
16844,1,0, , , , , , , ,3,2,1
16845,1,0, , , , , , , ,6,1,5
16846,1,0, , , , , , , ,5,3,2
16847,1,0, , , , , , , ,4,2,2
16848,1,0, , , , , , , ,4,2,2
16849,1,0, , , , , , , ,4,2,2
16850,1,0, , , , , , , ,6,2,4
16851,1,0, , , , , , , ,1,1,0
16852,1,0, , , , , , , ,3,1,2
16853,1,0, , , , , , , ,4,2,2
16854,1,0, , , , , , , ,4,3,1
16855,1,0, , , , , , , ,4,2,2
16856,1,0, , , , , , , ,5,3,2
16857,1,0, , , , , , , ,3,1,2
16858,1,0, , , , , , , ,2,1,1
16859,1,0, , , , , , , ,2,1,1
16860,1,0, , , , , , , ,4,2,2
16861,1,0, , , , , , , ,2,0,2
16862,1,0, , , , , , , ,6,3,3
16863,1,0, , , , , , , ,5,4,1
16864,1,0, , , , , , , ,5,1,4
16865,1,0, , , , , , , ,5,4,1
16866,1,0, , , , , , , ,4,3,1
16867,1,0, , , , , , , ,1,1,0
16868,1,0, , , , , , , ,2,1,1
16869,1,0, , , , , , , ,3,2,1
16870,1,0, , , , , , , ,2,1,1
16871,1,0, , , , , , , ,6,5,1
16872,1,0, , , , , , , ,4,2,2
16873,1,0, ,2,2,1,2,2,2,1,1,0
16874,1,0, , , , , , , ,3,2,1
16875,1,0, , , , , , , ,3,2,1
16876,1,0, , , , , , , ,5,3,2
16877,1,0, , , , , , , ,3,2,1
16878,1,0, , , , , , , ,2,1,1
16879,1,0, , , , , , , ,2,1,1
16880,1,0, ,2,2,2,2,2,1,3,2,1
16881,1,0, , , , , , , ,5,2,3
16882,1,0, , , , , , , ,5,3,2
16883,1,0, , , , , , , ,3,1,2
16884,1,0, , , , , , , ,1,1,0
16885,1,0, , , , , , , ,4,2,2
16886,1,0, , , , , , , ,4,2,2
16887,1,0, , , , , , , ,4,1,3
16888,1,0, , , , , , , ,3,2,1
16889,1,0, , , , , , , ,5,3,2
16890,1,0, , , , , , , ,2,1,1
16891,1,0, , , , , , , ,6,1,5
16892,1,0, , , , , , , ,5,2,3
16893,1,0, , , , , , , ,5,3,2
16894,1,0, , , , , , , ,4,2,2
16895,1,0, , , , , , , ,2,1,1
16896,1,0, , , , , , , ,3,2,1
16897,1,0, , , , , , , ,7,4,3
16898,1,0, , , , , , , ,3,0,3
16899,1,0, , , , , , , ,2,1,1
16900,1,0, , , , , , , ,3,2,1
16901,1,0, , , , , , , ,2,1,1
16902,1,0, , , , , , , ,5,3,2
16903,1,0, , , , , , , ,2,1,1
16904,1,0, , , , , , , ,6,3,3
16905,1,0, , , , , , , ,2,1,1
16906,1,0, , , , , , , ,4,3,1
16907,1,0, , , , , , , ,2,1,1
16908,1,0, , , , , , , ,4,2,2
16909,1,0, , , , , , , ,5,4,1
16910,1,0, , , , , , , ,2,1,1
16911,1,0, , , , , , , ,5,3,2
16912,1,0, , , , , , , ,7,4,3
16913,1,0, , , , , , , ,2,1,1
16914,1,0, , , , , , , ,7,5,2
16915,1,0, , , , , , , ,5,3,2
